Year,CountryName,CountryCode,PopulationTotal,Emissionspercapita,EmissionsTotal
1970,Qatar,QAT,109329,69.23,7568.69
1970,United Arab Emirates,ARE,235434,64.76,15247.39
1970,Brunei Darussalam,BRN,129729,63.29,8210.41
1970,Luxembourg,LUX,339171,40.53,13747.58
1970,Kuwait,KWT,750184,33.38,25041.94
1970,New Caledonia,NCL,112000,21.38,2394.55
1970,United States,USA,205052000,21.11,4328904.50
1970,Canada,CAN,21324000,16.01,341485.71
1970,Libya,LBY,2114264,15.29,32331.94
1970,"Bahamas, The",BHS,169356,15.2,2574.23
